WFOID,IPNID,scientificName,authorship,namePublishedin,Genus,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1200116689,urn:lsid:ipni.org:names:77375076-1,Isoetaceae,Isoetes flaccida subsp. chapmanii,(Engelm.) D.F.Brunt. & Kartesz,Consp. North Amer. Isoet. 1: 28. 2025 [15 Sep 2025] ,Isoetes,,Isoetaceae Isoetes flaccida Shuttlew. ex A.Braun var. chapmanii Engelm.,(Engelm.)
wfo-1200116572,urn:lsid:ipni.org:names:77375077-1,Isoetaceae,Isoetes lacustris subsp. macrospora,(Durieu) D.F.Brunt. & Kartesz,Consp. North Amer. Isoet. 1:46. 2025 [15 Sep 2025] ,Isoetes,,Isoetaceae Isoetes macrospora Durieu,(Durieu)
wfo-1200116573,urn:lsid:ipni.org:names:77375078-1,Isoetaceae,Isoetes melanopoda subsp. mississippiensis,"(S.W.Leonard, W.C.Taylor, Musselman & R.D.Bray) D.F.Brunt. & Kartesz",Consp. North Amer. Isoet. 1:60. 2025 [15 Sep 2025] ,Isoetes,,"Isoetaceae Isoetes mississippiensis S.W.Leonard, W.C.Taylor, Musselman & R.D.Bray","(S.W.Leonard, W.C.Taylor, Musselman & R.D.Bray)"
wfo-1200116690,urn:lsid:ipni.org:names:77375079-1,Isoetaceae,Isoetes riparia subsp. reticulata,(A.A.Eaton) D.F.Brunt. & Kartesz,Consp. North Amer. Isoet. 1:80. 2025 [15 Sep 2025] ,Isoetes,,Isoetaceae Isoetes saccharata Engelm. in A.Gray var. reticulata A.A.Eaton,(A.A.Eaton)
wfo-1200116691,urn:lsid:ipni.org:names:77375080-1,Sterculiaceae,Mahernia odorata,Andrews,Bot. Repos. 2: t. 85. 1800 [Feb 1800] ,Mahernia,,,
wfo-1000087614,urn:lsid:ipni.org:names:77375081-1,Berberidaceae,Berberis kiukiangensis,C.Y.Wu,Fl. Dulongjian Reg. 66. 1993 ,Berberis,"nom. inval.    , without latin descr. or type (1993).",,
wfo-1200116692,urn:lsid:ipni.org:names:77375082-1,Rosaceae,Rosa inermis,Andrews,Roses 2: t. 88. 1806 ,Rosa,,,
wfo-1000087615,urn:lsid:ipni.org:names:77375083-1,Scrophulariaceae,Orobanche sideritidis,"Huter, Porta & Rigo",Oesterr. Bot. Z. 57: 354. 1907 [Sep 1907] ,Orobanche,,,
wfo-1200116574,urn:lsid:ipni.org:names:77375084-1,Scrophulariaceae,Orobanche teucrii subsp. sideritidis,"(Huter, Porta & Rigo) Ó.Sánchez & Piwow.",Acta Soc. Bot. Poloniae 94-202669: 16. 2025 [26 Jun 2025] [epublished],Orobanche,,"Scrophulariaceae Orobanche sideritidis Huter, Porta & Rigo","(Huter, Porta & Rigo)"
wfo-1200116693,urn:lsid:ipni.org:names:77375085-1,Geraniaceae,Geranium speciosum,Andrews,Geraniums 2: t. 114. 1805 ,Geranium,,,
